,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
10,resnet18,random,10,0.807692308,0.953020134,0.728205128,0.825581395,0.930769231
11,resnet18,random,11,0.862179487,0.941860465,0.830769231,0.882833787,0.935152312
12,resnet18,random,12,0.876602564,0.928767123,0.869230769,0.898013245,0.940521587
13,resnet18,random,13,0.879807692,0.906976744,0.9,0.903474903,0.937256191
14,resnet18,random,14,0.892628205,0.913043478,0.915384615,0.914212548,0.941113303
15,resnet18,random,15,0.894230769,0.909090909,0.923076923,0.916030534,0.941485865
16,resnet18,random,16,0.895833333,0.917737789,0.915384615,0.916559692,0.943074732
17,resnet18,random,17,0.895833333,0.901234568,0.935897436,0.918238994,0.941135218
18,resnet18,random,18,0.879807692,0.879518072,0.935897436,0.906832298,0.940894149
19,resnet18,random,19,0.90224359,0.908188586,0.938461538,0.923076923,0.944817006
20,resnet18,random,20,0.895833333,0.895377129,0.943589744,0.918851436,0.946307254
21,resnet18,random,21,0.887820513,0.888349515,0.938461538,0.912718204,0.942537804
22,resnet18,random,22,0.889423077,0.890510949,0.938461538,0.913857678,0.944641683
23,resnet18,random,23,0.886217949,0.878859857,0.948717949,0.912453761,0.945233399
24,resnet18,random,24,0.879807692,0.875894988,0.941025641,0.907292954,0.943688363
25,resnet18,random,25,0.875,0.867924528,0.943589744,0.904176904,0.943019943
26,resnet18,random,26,0.884615385,0.878571429,0.946153846,0.911111111,0.943973263
27,resnet18,random,27,0.879807692,0.868852459,0.951282051,0.908200734,0.943502082
28,resnet18,random,28,0.879807692,0.857142857,0.969230769,0.909747292,0.946997589
29,resnet18,random,29,0.881410256,0.86744186,0.956410256,0.909756098,0.944137629
0,resnet18,uncertainty,0,0.391025641,0.8125,0.033333333,0.064039409,0.648794653
1,resnet18,uncertainty,1,0.389423077,0.909090909,0.025641026,0.049875312,0.732259478
2,resnet18,uncertainty,2,0.557692308,0.931818182,0.315384615,0.471264368,0.815855797
3,resnet18,uncertainty,3,0.682692308,0.887096774,0.564102564,0.689655172,0.847896121
4,resnet18,uncertainty,4,0.782051282,0.87797619,0.756410256,0.812672176,0.883574403
5,resnet18,uncertainty,5,0.818910256,0.869333333,0.835897436,0.852287582,0.903002411
6,resnet18,uncertainty,6,0.834935897,0.819599109,0.943589744,0.877234803,0.921060706
7,resnet18,uncertainty,7,0.8125,0.786163522,0.961538462,0.865051903,0.926988823
8,resnet18,uncertainty,8,0.794871795,0.765182186,0.969230769,0.85520362,0.934483892
9,resnet18,uncertainty,9,0.774038462,0.742690058,0.976923077,0.843853821,0.93964497
10,resnet18,uncertainty,10,0.761217949,0.72693032,0.98974359,0.838219327,0.945047118
11,resnet18,uncertainty,11,0.725961538,0.697297297,0.992307692,0.819047619,0.944378698
12,resnet18,uncertainty,12,0.778846154,0.745136187,0.982051282,0.847345133,0.947907079
13,resnet18,uncertainty,13,0.759615385,0.72556391,0.98974359,0.837310195,0.947293447
14,resnet18,uncertainty,14,0.761217949,0.72693032,0.98974359,0.838219327,0.949112426
15,resnet18,uncertainty,15,0.758012821,0.724202627,0.98974359,0.836403034,0.949791804
16,resnet18,uncertainty,16,0.756410256,0.722846442,0.98974359,0.835497835,0.950186281
17,resnet18,uncertainty,17,0.758012821,0.724202627,0.98974359,0.836403034,0.953627
18,resnet18,uncertainty,18,0.758012821,0.723364486,0.992307692,0.836756757,0.952553145
19,resnet18,uncertainty,19,0.759615385,0.724719101,0.992307692,0.837662338,0.951545036
20,resnet18,uncertainty,20,0.759615385,0.72556391,0.98974359,0.837310195,0.952476441
21,resnet18,uncertainty,21,0.758012821,0.723364486,0.992307692,0.836756757,0.951654613
22,resnet18,uncertainty,22,0.766025641,0.731939163,0.987179487,0.840611354,0.951731317
23,resnet18,uncertainty,23,0.780448718,0.744680851,0.987179487,0.848952591,0.952662722
24,resnet18,uncertainty,24,0.794871795,0.758893281,0.984615385,0.857142857,0.949222003
25,resnet18,uncertainty,25,0.77724359,0.741811175,0.987179487,0.847084708,0.950399956
26,resnet18,uncertainty,26,0.762820513,0.729166667,0.987179487,0.838779956,0.949512382
27,resnet18,uncertainty,27,0.780448718,0.743737958,0.98974359,0.849284928,0.952427131
28,resnet18,uncertainty,28,0.810897436,0.775303644,0.982051282,0.866515837,0.951709402
29,resnet18,uncertainty,29,0.788461538,0.755952381,0.976923077,0.852348993,0.949994521
